episode,pitch_no,company,no_of_presenters,male_presenter,female_presenter
1,1,BluePine Industries,3,2,1
1,2,Booz scooters,1,1,0
1,3,Heart up my Sleeves,1,0,1
2,4,Tagz Foods,2,2,0
2,5,Head and Heart,4,1,3
2,6,Agro tourism,2,1,1
3,7,Qzense Labs,2,0,2
3,8,Peeschute,1,1,0
3,9,NOCD,2,2,0
4,10,Cosiq,2,1,1
4,11,JhaJi Achaar,2,0,2
4,12,Bummer,1,1,0
5,13,Revamp Moto,3,3,0
5,14,Hungry Heads,2,2,0
5,15,Shrawani Engineers,2,1,1
6,16,Skippi Pops,2,1,1
6,17,Menstrupedia,2,1,1
6,18,Hecolll,1,0,1
7,19,Raising Superstars,2,1,1
7,20,Torch-it,1,1,0
7,21,La Kheer Delhi,3,1,2
8,22,Beyond Snack,1,1,0
8,23,Vivalyf Innovations- Easy Life,2,1,1
8,24,Motion Breeze,4,4,0
9,25,Altor,4,4,0
9,26,Ariro,2,1,1
9,27,Kabira Handmade,2,1,1
10,28,Nuutjob,2,0,2
10,29,Meatyour,3,3,0
10,30,EventBeep,3,2,1
11,31,Gopal's 56,1,1,0
11,32,ARRCOAT Surface Textures,3,3,0
11,33,Farda,2,1,1
12,34,Auli Lifestyle,1,0,1
12,35,SweeDesi,2,1,1
12,36,LOKA,1,1,0
13,37,Annie,4,3,1
13,38,Caragreen,2,0,2
13,39,The Yarn Bazaar,1,1,0
14,40,The Renal Project,1,1,0
14,41,Morikko Pure Foods,3,2,1
14,42,Good Good Piggy Bank,2,0,2
15,43,Hammer Lifestyle,3,3,0
15,44,PNT,2,2,0
15,45,Cocofit,3,3,0
16,46,Bamboo India,2,1,1
16,47,Flying Furr,3,2,1
16,48,Beyond Water,2,1,1
16,49,Let's Try,4,1,3
17,50,Find Your Kicks India,3,3,0
17,51,Aas Vidyalaya,2,1,1
17,52,Outbox,2,1,1
17,53,RoadBounce,1,1,0
18,54,Mommy's Kitchen,3,2,1
18,55,India Hemp and Co,1,0,1
18,56,Otua,2,2,0
18,57,Anthyesti,1,0,1
19,58,Ethik,2,2,0
19,59,WeSTOCK,2,2,0
19,60,KetoIndia,1,1,0
19,61,Magic lock,3,3,0
20,62,The State Plate,2,1,1
20,63,Bakarmax,2,2,0
20,64,IN A CAN,2,2,0
21,65,Get a Whey,2,1,1
21,66,Sid 07 Designs,1,1,0
21,67,The Quirky Nari,1,0,1
22,68,Hair Originals,3,3,0
22,69,Poo de Cologne,1,0,1
22,70,Moonshine Meads,2,2,0
22,71,Falhari,3,3,0
23,72,Namhya Foods,1,0,1
23,73,Urban Monkey,1,1,0
23,74,Guardian Gears,2,1,1
23,75,Modern Myth,2,1,1
24,76,The Sass Bar,1,0,1
24,77,KG Agrotech,2,2,0
24,78,Nuskha Kitchen,2,1,1
25,79,PawsIndia,1,0,1
25,80,Sunfox Technologies,4,4,0
25,81,Alpino,4,4,0
26,82,Isak Fragrances,1,0,1
26,83,Julaa Automation,3,3,0
26,84,Rare Planet,2,2,0
27,85,Theka Coffee,1,1,0
27,86,Watt Technovations,1,1,0
27,87,Aliste Technologies,6,6,0
27,88,Insurance Samadhan,3,2,1
28,89,Humpy A2,3,2,1
28,90,Kunafa World,2,1,1
28,91,Gold Safe Solutions Ind.,2,2,0
29,92,Wakao Foods,1,1,0
29,93,PDD Falcon,2,1,1
29,94,PlayBox TV,2,2,0
30,95,Sippline Drinking Shields,1,1,0
30,96,Kabaddi Adda,2,2,0
30,97,Shades of Spring,2,1,1
30,98,Scholify,1,1,0
31,99,Scrapshala,2,0,2
31,100,Sabjikothi,2,1,1
31,101,AyuRythm,3,3,0
31,102,Astrix,2,1,1
32,103,Thea and Sid,2,0,2
32,104,Experential Etc,2,2,0
32,105,GrowFitter,2,2,0
32,106,Med Tech,2,1,1
33,107,Colour Me Mad,2,1,1
33,108,Mavi's,2,1,1
33,109,Tweek Labs,4,4,0
33,110,Proxgy,2,2,0
34,111,Nomad Food Project,2,2,0
34,112,Twee in One,1,0,1
34,113,Green Protein,2,1,1
34,114,On2Cook,1,1,0
35,115,Jain Shikanji,1,1,0
35,116,Woloo,3,1,2
35,117,Elcare India,3,2,1
